Crash_ID,Time_ID,Speed_ID,State_ID,Remoteness_ID,Road_type_ID,Crash_type_ID,Vehicle_ID,Holiday_ID,Month,Year,Dayweek,LGA_name,Number Fatalities
20242042,8,2,3,3,1,1,1,2,10,2024,Thursday,Casey,1
20243210,9,6,4,2,6,1,1,2,10,2024,Thursday,Gladstone,1
20244025,10,8,5,2,1,1,1,2,10,2024,Thursday,Northern Areas,1
20243088,13,3,4,2,5,1,1,2,10,2024,Thursday,Tablelands,1
20241211,13,7,1,3,3,2,8,2,10,2024,Thursday,Sydney,2
20242007,13,1,3,1,3,2,1,2,10,2024,Thursday,Murrindindi,1
20247050,14,4,8,0,4,2,1,2,10,2024,Thursday,Unknown,1
20245037,14,8,6,0,4,1,1,2,10,2024,Thursday,Unknown,1
20241204,15,2,1,3,3,2,1,2,10,2024,Thursday,Wollongong,1
20244062,16,2,5,3,2,1,1,2,10,2024,Thursday,Port Adelaide Enfield,1
20241137,16,8,1,1,3,2,1,2,10,2024,Thursday,Albury,1
20243117,17,6,4,3,5,2,1,2,10,2024,Thursday,Gold Coast,1
20242081,17,6,3,3,1,2,1,2,10,2024,Thursday,Boroondara,1
20242015,18,4,3,0,4,2,1,2,10,2024,Thursday,Unknown,1
20243206,19,6,4,3,5,2,1,2,10,2024,Thursday,Redland,1
20242034,21,4,3,0,4,1,1,2,10,2024,Thursday,Unknown,1
20248003,21,7,7,3,6,1,1,2,10,2024,Thursday,Unincorporated ACT,1
20244032,0,8,5,1,6,2,1,2,10,2024,Tuesday,Playford,1
20241153,4,6,1,3,6,2,1,2,10,2024,Tuesday,Penrith,1
20242138,5,1,3,1,3,2,1,2,10,2024,Tuesday,South Gippsland,1
20243198,6,1,4,2,2,1,1,2,10,2024,Tuesday,Hinchinbrook,1
20243190,14,12,4,3,6,1,1,2,10,2024,Tuesday,Moreton Bay,1
20242107,14,9,3,3,2,1,1,2,10,2024,Tuesday,Boroondara,1
20243080,18,1,4,1,6,1,1,2,10,2024,Tuesday,Fraser Coast,1
20242204,18,2,3,1,5,2,1,2,10,2024,Tuesday,Yarra Ranges,1
20242139,20,3,3,1,8,1,1,2,10,2024,Tuesday,Colac Otway,1
20245086,21,6,6,0,4,1,1,2,10,2024,Tuesday,Unknown,1
20247026,4,4,8,0,4,1,1,2,10,2024,Wednesday,Unknown,1
20245063,13,8,6,0,4,1,1,2,10,2024,Wednesday,Unknown,1
20241103,13,2,1,2,1,1,1,2,10,2024,Wednesday,Bega Valley,1
20247025,15,4,8,0,4,1,1,2,10,2024,Wednesday,Unknown,1
20242129,15,1,3,1,2,1,1,2,10,2024,Wednesday,Surf Coast,1
20244027,15,2,5,1,1,2,1,2,10,2024,Wednesday,Mount Barker,1
20243006,16,3,4,3,5,1,1,2,10,2024,Wednesday,Brisbane,1
20243108,17,1,4,1,5,2,1,2,10,2024,Wednesday,Bundaberg,1
20243212,18,7,4,3,6,2,1,2,10,2024,Wednesday,Gold Coast,1
20241237,18,3,1,3,2,1,1,2,10,2024,Wednesday,Cessnock,1
20241052,21,1,1,1,3,1,1,2,10,2024,Wednesday,Maitland,1
20241308,23,3,1,2,5,1,1,2,10,2024,Wednesday,Federation,1
20246027,2,3,2,1,2,1,1,2,9,2024,Friday,Hobart,1
20244072,8,3,5,3,6,1,1,2,9,2024,Friday,Mitcham,1
20245125,8,5,6,0,4,1,5,2,9,2024,Friday,Unknown,1
20241195,12,2,1,1,5,1,1,2,9,2024,Friday,Clarence Valley,1
20244043,12,3,5,3,5,2,1,2,9,2024,Friday,Adelaide,1
20241102,12,6,1,3,1,2,1,2,9,2024,Friday,Penrith,1
20243194,14,6,4,3,3,1,1,2,9,2024,Friday,Brisbane,1
20245148,15,6,6,0,4,1,1,2,9,2024,Friday,Unknown,1
20246017,15,2,2,1,1,2,5,2,9,2024,Friday,Clarence,2
20243070,17,1,4,3,3,2,5,2,9,2024,Friday,Brisbane,1
20243165,18,2,4,3,2,2,1,2,9,2024,Friday,Moreton Bay,1
20241063,18,7,1,3,1,2,1,2,9,2024,Friday,Central Coast,1
20241132,20,6,1,3,3,2,8,2,9,2024,Friday,Wollongong,1
20241292,20,6,1,3,1,2,1,2,9,2024,Friday,Central Coast,1
20245141,20,6,6,0,4,1,1,2,9,2024,Friday,Unknown,1
20241189,21,1,1,1,2,1,1,2,9,2024,Friday,Lismore,1
