fatality_id,Crash_ID,Road_User,Gender,Age,Age_Group
28893,20034127,Motorcycle rider,Male,20,17_to_25
28894,20032073,Passenger,Male,1,0_to_16
28895,20032073,Driver,Female,82,75_or_older
28896,20032073,Passenger,Male,3,0_to_16
28897,20034060,Motorcycle rider,Male,46,40_to_64
28898,20032069,Driver,Male,20,17_to_25
28899,20033095,Driver,Male,78,75_or_older
28900,20033072,Driver,Male,20,17_to_25
28901,20032030,Motorcycle rider,Male,27,26_to_39
28902,20032083,Driver,Male,50,40_to_64
28903,20032261,Passenger,Female,17,17_to_25
28904,20031250,Unknown,Male,54,40_to_64
28905,20031150,Driver,Female,29,26_to_39
28906,20031040,Driver,Male,48,40_to_64
28907,20031440,Passenger,Male,25,17_to_25
28908,20031440,Driver,Male,32,26_to_39
28909,20035037,Driver,Male,20,17_to_25
28910,20031050,Passenger,Female,2,0_to_16
28911,20035036,Pedestrian,Male,33,26_to_39
28912,20031024,Pedestrian,Female,80,75_or_older
28913,20035103,Passenger,Female,28,26_to_39
28914,20033196,Pedestrian,Male,56,40_to_64
28915,20031066,Driver,Male,36,26_to_39
28916,20031284,Driver,Male,41,40_to_64
28917,20032236,Passenger,Female,70,65_to_74
28918,20032236,Driver,Male,78,75_or_older
28919,20034022,Driver,Male,18,17_to_25
28920,20031328,Driver,Female,70,65_to_74
28921,20031007,Pedestrian,Female,59,40_to_64
28922,20031026,Passenger,Male,13,0_to_16
28923,20031026,Driver,Female,31,26_to_39
28924,20035100,Motorcycle rider,Male,19,17_to_25
28925,20032222,Driver,Female,53,40_to_64
28926,20035042,Motorcycle rider,Male,23,17_to_25
28927,20032085,Driver,Female,37,26_to_39
28928,20031464,Motorcycle rider,Male,25,17_to_25
28929,20031039,Pedal cyclist,Male,52,40_to_64
28930,20034031,Driver,Male,28,26_to_39
28931,20034031,Passenger,Male,20,17_to_25
28932,20034031,Passenger,Male,21,17_to_25
28933,20031121,Driver,Male,18,17_to_25
28934,20035007,Driver,Female,23,17_to_25
28935,20032018,Pedestrian,Female,78,75_or_older
28936,20031263,Pedestrian,Female,90,75_or_older
28937,20034117,Pedal cyclist,Male,16,0_to_16
28938,20031474,Driver,Female,58,40_to_64
28939,20031125,Driver,Male,75,75_or_older
