Location_ID,LGA_Name,Population_2021,Dwelling_Count_2021
558,Kwinana,47660,17628
559,Murray,18639,8192
560,Dumbleyung,698,335
561,Port Hedland,16666,7942
562,Coolamon,4403,1974
563,Stirling,234322,102177
564,Robe,1568,1669
565,Cambridge,29822,11522
566,Swan,158689,58928
567,Wanneroo,216422,78061
568,Somerset,25388,11020
569,Canning,99306,37259
570,Richmond Valley,23595,10692
571,Gosnells,131366,47117
572,The Hills,192660,
573,Serpentine-Jarrahdale,33349,11234
574,Mandurah,93412,44140
575,Southern Mallee,2026,1077
576,Woodanilling,469,221
577,Warrumbungle,9256,
578,Dowerin,733,422
579,Kalgoorlie-Boulder,30670,13248
580,Greater Geraldton,41182,18018
581,Harvey,29625,11874
582,Serpentine-Jarrahdale,33349,11234
583,Bayswater,71774,32165
584,Doomadgee,1434,376
585,Croydon,269,214
586,West Arnhem,7182,2225
587,Albany,40105,18033
588,Central Highlands (Tas.),2579,2752
589,Lockhart,3328,1417
590,Chittering,6099,2410
591,Perenjori,652,254
592,Mount Magnet,699,410
593,Donnybrook-Balingup,6312,2821
594,Cobar,4098,2320
595,Hope Vale,998,348
596,Augusta Margaret River,17303,8918
597,Vincent,37833,18208
598,Wickepin,712,335
599,Clare and Gilbert Valleys,9363,4678
600,Wangaratta,29751,13677
601,Melton,181346,60363
602,Cockburn,122212,48428
603,Kalgoorlie-Boulder,30670,13248
604,Victoria Park,38296,18019
605,Armadale,97644,36306
606,Bunbury,34137,15960
607,Kalamunda,60804,23347
608,Gingin,5751,4107
609,Moora,2382,1156
610,Perth,29653,17636
611,Busselton,42009,21315
612,Williams,1050,507
613,Augusta Margaret River,17303,8918
614,Derwent Valley,11106,4749
615,Quilpie,702,507
616,Kojonup,1963,1037
617,Mount Marshall,467,315
618,Kingston (SA),2375,1733
619,Karratha,23412,10056
620,Elliston,1038,849
621,Coolgardie,3638,1798
622,Port Hedland,16666,7942
623,Tablelands,26488,13184
624,Monash,192893,76463
625,Derby-West Kimberley,8414,3604
626,Mundaring,40539,14962
627,Light,16083,6046
628,Belmont,43868,20355
629,Nungarin,263,135
630,Bayside (Vic.),102328,43102
631,Northam,11804,5237
632,Melville,106823,42920
633,Bassendean,16500,7187
634,Yilgarn,1205,715
635,Broome,18204,9419
636,Chapman Valley,1613,694
637,Uralla,5992,2759
638,Broomehill-Tambellup,1089,577
639,Meekatharra,1287,608
640,Esperance,14396,6844
641,Sunshine Coast,346634,149005
642,Capel,18776,7110
643,Dundas,699,632
644,Federation,12822,6546
645,Towong,6186,3125
